Simulation Iteration,Q-Value,Q-value Difference
0.0,0.0,
17.0,0.0,0.0
19.0,2.4585922448681303e-12,2.4585922448681303e-12
44.0,2.465063608284964e-13,2.212085884039634e-12
108.0,2.4812056403893186e-14,2.216943044246032e-13
231.0,-3.219461811813166e-14,5.700667452202485e-14
354.0,-6.278667699628365e-13,5.956721518447048e-13
590.0,-3.895951144743786e-12,3.26808437478095e-12
630.0,-4.010171530401611e-12,1.1422038565782487e-13
670.0,-3.884004911957733e-12,1.2616661844387807e-13
698.0,-4.2071795030052315e-12,3.231745910474985e-13
743.0,-4.04489354445996e-12,1.622859585452715e-13
795.0,-5.406904537703874e-12,1.3620109932439142e-12
808.0,-5.580244589043343e-12,1.7334005133946893e-13
873.0,-5.310542621360321e-12,2.697019676830223e-13
886.0,-5.268654387944601e-12,4.188823341571952e-14
951.0,-3.3898273396175864e-12,1.878827048327015e-12
970.0,-6.003034300062186e-12,2.6132069604445998e-12
1045.0,-6.426448787745305e-12,4.234144876831186e-13
1075.0,-6.376130291571687e-12,5.031849617361806e-14
1112.0,-7.381622873228236e-12,1.0054925816565492e-12
1144.0,-7.643771420268964e-12,2.6214854704072786e-13
1258.0,-5.915292348960362e-12,1.7284790713086017e-12
1329.0,-6.054972953413871e-12,1.3968060445350852e-13
1473.0,-1.0650282256128142e-11,4.595309302714271e-12
1643.0,2.148062463126473e-11,3.2130906887392876e-11
1933.0,-5.714868899711291e-11,7.862931362837764e-11
1936.0,-1.1731414485204446e-09,1.1159927595233317e-09
1945.0,-1.402335755490146e-09,2.2919430696970146e-10
2077.0,-1.2628319556133306e-09,1.395037998768154e-10
2131.0,-1.0822429293327901e-09,1.8058902628054051e-10
2246.0,-8.081310435726897e-10,2.741118857601004e-10
2283.0,-7.759113898560466e-10,3.2219653716643065e-11
2302.0,-8.008912047975813e-10,2.497981494153462e-11
2307.0,-8.041211259061679e-10,3.229921108586685e-12
2351.0,-8.044892510762453e-10,3.6812517007732096e-13
2464.0,-4.467417674962593e-10,3.5774748357998596e-10
2489.0,-4.399605190476247e-10,6.7812484486345865e-12
2649.0,-4.393807383244317e-10,5.797807231930124e-13
2760.0,1.543717889816766e-09,1.9830986281411976e-09
2790.0,1.2182921662426432e-09,3.254257235741229e-10
2796.0,1.180620914089119e-09,3.767125215352411e-11
2806.0,1.1719775833601132e-09,8.643330729005885e-12
2952.0,8.942643298824324e-10,2.777132534776808e-10
2989.0,8.615339654174273e-10,3.273036446500514e-11
3052.0,1.1070717967917766e-09,2.4553783137434933e-10
3087.0,1.1361963838998533e-09,2.912458710807667e-11
