Simulation Iteration,Q-Value,Q-value Difference
0.0,0.0,
52.0,0.0,0.0
182.0,3.8767323290729856e-14,3.8767323290729856e-14
354.0,1.0041854638299116e-13,6.16512230922613e-14
388.0,1.1418063887431229e-13,1.3762092491321124e-14
556.0,1.2095941813183624e-13,6.778779257523954e-15
576.0,1.2406896324786644e-13,3.1095451160302045e-15
594.0,1.2504271082379997e-13,9.737475759335216e-16
600.0,-2.071269887258831e-12,2.196312598082631e-12
605.0,-2.3255699805767295e-12,2.543000933178984e-13
688.0,-2.3773132186054148e-12,5.174323802868533e-14
830.0,-5.5958108974541e-12,3.2184976788486855e-12
987.0,-1.2042749837850246e-11,6.446938940396145e-12
1026.0,-1.3955893027574205e-11,1.9131431897239594e-12
1150.0,1.3557273813807797e-10,1.4952863116565216e-10
1243.0,-8.175453966214548e-12,1.4374819210429252e-10
1476.0,-1.7000100448310808e-11,8.82464648209626e-12
1528.0,-1.7700540580478085e-11,7.004401321672771e-13
1585.0,-1.7360980152676893e-11,3.3956042780119187e-13
1629.0,-1.7188035780180162e-11,1.729443724967305e-13
1709.0,-1.7565258524596064e-11,3.7722274441590145e-13
1722.0,-1.769851066638708e-11,1.3325214179101648e-13
1821.0,-2.7700871067755538e-11,1.0002360401368457e-11
1921.0,-2.3742089445747564e-11,3.958781622007973e-12
1994.0,-1.7984108262250326e-10,1.560989931767557e-10
2005.0,-1.97341454774219e-10,1.750037215171573e-11
2014.0,-1.993046235234485e-10,1.963168749229521e-12
2022.0,-1.987631929674713e-10,5.414305559772127e-13
2762.0,2.1604387752173246e-11,2.2036758071964456e-10
2791.0,-3.6599782581011596e-11,5.820417033318484e-11
2820.0,-8.792215817177387e-11,5.132237559076228e-11
2881.0,-8.620683055965735e-10,7.741461474247997e-10
3021.0,-9.535552795151613e-10,9.148697391858783e-11
3074.0,-9.652136229836572e-10,1.1658343468495888e-11
3135.0,-9.695643847989867e-10,4.350761815329502e-12
3161.0,-9.701839527835284e-10,6.195679845416516e-13
3229.0,-9.725650158295219e-10,2.3810630459934607e-12
3241.0,-9.665258497770394e-10,6.039166052482499e-12
3277.0,-9.65907223340683e-10,6.186264363564512e-13
3339.0,-1.8169049765043266e-10,7.842167256902503e-10
3391.0,-8.726367858769055e-11,9.442681906274211e-11
3490.0,-8.089926862379506e-11,6.364409963895483e-12
3713.0,5.455439405275432e-10,6.264432091513382e-10
3778.0,6.584366170161787e-10,1.1289267648863552e-10
4014.0,7.950327907135971e-10,1.3659617369741847e-10
4074.0,1.9708583997798197e-09,1.1758256090662224e-09
4094.0,2.106265760841539e-09,1.3540736106171928e-10
4261.0,1.197177638597937e-09,9.09088122243602e-10
4263.0,1.0829012493224376e-09,1.1427638927549937e-10
4307.0,1.0648821987085988e-09,1.8019050613838752e-11
4309.0,1.0597324696082506e-09,5.149729100348196e-12
4322.0,1.059083701749437e-09,6.487678588137163e-13
4407.0,-4.343880920874901e-10,1.493471793836927e-09
4453.0,4.9856208693406086e-11,4.842443007808962e-10
4487.0,1.0932462363033685e-10,5.946841493693076e-11
4650.0,-1.7559480747993603e-11,1.2688410437833046e-10
4660.0,-3.3798730806304854e-11,1.623925005831125e-11
4741.0,-2.883024017901913e-10,2.545036709838864e-10
4796.0,-3.380635666081799e-11,2.544960451293733e-10
4887.0,-1.0266585815911928e-12,3.27796980792268e-11
4900.0,-7.271282176603734e-12,6.244623595012541e-12
4998.0,-8.53277729873689e-12,1.2614951221331554e-12
5216.0,-9.254500213552862e-12,7.217229148159724e-13
5490.0,-0.10373661150701684,0.10373661149776234
5603.0,-5.541345551455721,5.437608939948704
5687.0,-6.267672666618717,0.726327115162996
5769.0,-6.365052185063148,0.09737951844443149
5945.0,-6.378146582915748,0.01309439785259947
6093.0,-1.6208102225104413,4.757336360405306
6175.0,-0.9716344862441295,0.6491757362663118
6179.0,-0.8826897937533013,0.08894469249082826
6196.0,-0.8705023173948365,0.012187476358464733
6396.0,-0.8688332111957425,0.0016691061990939948
6418.0,-0.868602388601981,0.00023082259376150382
6431.0,-0.8685704379767121,3.195062526895054e-05
6481.0,-0.8685660141255712,4.423851140855639e-06
6693.0,-0.8685654008455099,6.132800612901335e-07
6834.0,-0.8685653127115751,8.813393481688081e-08
6859.0,-0.8685653008143532,1.1897221874335173e-08
6903.0,-0.8685652991370902,1.6772629951589124e-09
7070.0,-0.8685653030125623,3.875472054382101e-09
7111.0,-0.8685653035624431,5.498808075543593e-10
7151.0,-0.8685653036611207,9.867762162940608e-11
